Changed Files (Full Path),Oldest Update Date,Oldest Commit Hash,Newest Update Date,Newest Commit Hash,Commit Count
e2e/donate-page-donor.spec.ts,2024-12-23 15:12:05 -0600,4f4bbe64f8b6cbdc6a27babf0be26b2094e7c538,2024-12-23 15:12:05 -0600,4f4bbe64f8b6cbdc6a27babf0be26b2094e7c538,1
curriculum/challenges/english/25-front-end-development/lab-sentence-maker/66c057041df6394ca796bf33.md,2024-12-23 12:17:58 -0800,143d9d3bf8b2ecb33441d8b670b771f886d284d9,2024-12-23 12:17:58 -0800,143d9d3bf8b2ecb33441d8b670b771f886d284d9,1
client/src/templates/Challenges/components/challenge-explanation.css,2024-12-23 21:45:43 +0200,3f350df7e2ce8af89f89a21350eb363b48aef0c6,2024-12-23 21:45:43 +0200,3f350df7e2ce8af89f89a21350eb363b48aef0c6,1
client/src/templates/Challenges/components/challenge-explanation.tsx,2024-12-23 21:45:43 +0200,3f350df7e2ce8af89f89a21350eb363b48aef0c6,2024-12-23 21:45:43 +0200,3f350df7e2ce8af89f89a21350eb363b48aef0c6,1
e2e/super-block-page.spec.ts,2024-12-19 12:40:51 +0100,81ffae58de3470ec564c841c9b8f3c01b8d8703f,2024-12-23 18:58:54 +0100,1de979fc03b2016eca5c82993aa9f27d291d18a2,2
curriculum/challenges/english/14-responsive-web-design-22/learn-intermediate-css-by-building-a-cat-painting/646c48df8674cf2b91020ecc.md,2024-12-23 16:39:17 +0100,6c04b4e658777a8a5ed22a1b54654d0d88dcc570,2024-12-23 16:39:17 +0100,6c04b4e658777a8a5ed22a1b54654d0d88dcc570,1
curriculum/challenges/english/15-javascript-algorithms-and-data-structures-22/learn-asynchronous-programming-by-building-an-fcc-forum-leaderboard/644b6d20eabd7e0149383254.md,2024-12-23 16:39:17 +0100,6c04b4e658777a8a5ed22a1b54654d0d88dcc570,2024-12-23 16:39:17 +0100,6c04b4e658777a8a5ed22a1b54654d0d88dcc570,1
curriculum/challenges/english/25-front-end-development/workshop-cat-painting/646c48df8674cf2b91020ecc.md,2024-12-23 16:39:17 +0100,6c04b4e658777a8a5ed22a1b54654d0d88dcc570,2024-12-23 16:39:17 +0100,6c04b4e658777a8a5ed22a1b54654d0d88dcc570,1
curriculum/challenges/english/25-front-end-development/workshop-music-player/6758a61fc7e949923716ec41.md,2024-12-23 16:39:17 +0100,6c04b4e658777a8a5ed22a1b54654d0d88dcc570,2024-12-23 16:39:17 +0100,6c04b4e658777a8a5ed22a1b54654d0d88dcc570,1
curriculum/challenges/english/25-front-end-development/workshop-reusable-mega-navbar/6745d9df333efe2543a1f457.md,2024-12-23 16:39:17 +0100,6c04b4e658777a8a5ed22a1b54654d0d88dcc570,2024-12-23 16:39:17 +0100,6c04b4e658777a8a5ed22a1b54654d0d88dcc570,1
client/.babelrc.js,2024-12-23 07:40:25 -0500,c6423b44fb402fd33b976072c115238e4455a85f,2024-12-23 07:40:25 -0500,c6423b44fb402fd33b976072c115238e4455a85f,1
curriculum/superblock-structure/full-stack.json,2024-12-23 17:35:01 +0500,ca459080b5e0dddec09f0d4bc525b08b88252dd1,2024-12-23 17:35:01 +0500,ca459080b5e0dddec09f0d4bc525b08b88252dd1,1
curriculum/challenges/english/25-front-end-development/lab-job-application-form/66faac4139dbbd5dd632c860.md,2024-12-23 12:23:28 +0000,6748f3527de94bf547f6670f6e5cbddceca777c9,2024-12-23 12:23:28 +0000,6748f3527de94bf547f6670f6e5cbddceca777c9,1
client/src/templates/Challenges/classic/show.tsx,2024-12-13 07:21:50 +0100,7566d32c7e2ad8eb2c9435c196d7924489d9b52b,2024-12-23 12:53:38 +0100,68550ccbb4a1b46f27efc7adec72b2a497648e27,2
client/src/templates/Challenges/components/challenge-description.tsx,2024-12-23 12:53:38 +0100,68550ccbb4a1b46f27efc7adec72b2a497648e27,2024-12-23 12:53:38 +0100,68550ccbb4a1b46f27efc7adec72b2a497648e27,1
client/src/templates/Challenges/components/side-panel.tsx,2024-12-23 12:53:38 +0100,68550ccbb4a1b46f27efc7adec72b2a497648e27,2024-12-23 12:53:38 +0100,68550ccbb4a1b46f27efc7adec72b2a497648e27,1
client/src/templates/Challenges/generic/show.tsx,2024-12-23 11:56:20 +0100,f048a7f37767c37dd259bd5f005e2fb24852c11c,2024-12-23 12:53:38 +0100,68550ccbb4a1b46f27efc7adec72b2a497648e27,2
client/src/templates/Challenges/ms-trophy/show.tsx,2024-12-23 12:53:38 +0100,68550ccbb4a1b46f27efc7adec72b2a497648e27,2024-12-23 12:53:38 +0100,68550ccbb4a1b46f27efc7adec72b2a497648e27,1
client/src/templates/Challenges/projects/backend/show.tsx,2024-12-23 12:53:38 +0100,68550ccbb4a1b46f27efc7adec72b2a497648e27,2024-12-23 12:53:38 +0100,68550ccbb4a1b46f27efc7adec72b2a497648e27,1
client/src/templates/Challenges/projects/frontend/show.tsx,2024-12-23 12:53:38 +0100,68550ccbb4a1b46f27efc7adec72b2a497648e27,2024-12-23 12:53:38 +0100,68550ccbb4a1b46f27efc7adec72b2a497648e27,1
client/src/templates/Challenges/quiz/show.tsx,2024-12-23 12:53:38 +0100,68550ccbb4a1b46f27efc7adec72b2a497648e27,2024-12-23 12:53:38 +0100,68550ccbb4a1b46f27efc7adec72b2a497648e27,1
client/src/utils/math-jax.ts,2024-12-23 12:53:38 +0100,68550ccbb4a1b46f27efc7adec72b2a497648e27,2024-12-23 12:53:38 +0100,68550ccbb4a1b46f27efc7adec72b2a497648e27,1
